1,2,3,,,,,,,,,,,,,
QQ,"1030001 => ""WebQQ""",,,,,,,,,,,,,,
,"  1270110 => ""vs游戏对战平台""",******,,,,,,,,,,,,,
,"  1270111 => ""11游戏对战平台""",,,,,,,,,,,,,,
,"  1270112 => ""51游戏社区""",,,,,,,,,,,,,,
,"  1270113 => ""联众游戏""",,,,,,,,,,,,,,
,"  1270114 => ""QQ类游戏""",******,,,,,,,,,,,,,
,"  1270120 => ""移动营业厅""",,,,,,,,,,,,,,
,"  1270121 => ""电信营业厅""",,,,,,,,,,,,,,
,"  1270122 => ""联通营业厅""",,,,,,,,,,,,,,
,"  1270124 => ""QQ邮箱客户端""",,,,,,,,,,,,,,
,"  1270126 => ""百度音乐""",,,,,,,,,,,,,,
,"  1270130 => ""新浪新闻""",,,,,,,,,,,,,,
,"  1270131 => ""腾讯新闻""",,,,,,,,,,,,,,
,"  1270132 => ""网易新闻""",,,,,,,,,,,,,,
,"  1270133 => ""搜狐新闻""",,,,,,,,,,,,,,
,"  1270134 => ""凤凰网新闻""",,,,,,,,,,,,,,
,"  1270140 => ""土豆视频""",,,,,,,,,,,,,,
,"  1270141 => ""百度视频""",,,,,,,,,,,,,,
,"  1270142 => ""优酷视频""",,,,,,,,,,,,,,
,"  1270144 => ""滴滴出行""",,,,,,,,,,,,,,
,"  1270150 => ""163邮箱""",///,,,,,,,,,,,,,
,"  1270151 => ""126邮箱""",///,,,,,,,,,,,,,
,"  1270152 => ""QQ邮箱""",///,,,,,,,,,,,,,
,"  1270153 => ""新浪邮箱""",///,,,,,,,,,,,,,
,"  1270154 => ""搜狐邮箱""",///,,,,,,,,,,,,,
,"  1270155 => ""139邮箱""",///,,,,,,,,,,,,,
,"  1270156 => ""189邮箱""",,,,,,,,,,,,,,
,"  1270157 => ""阿里云邮箱""",,,,,,,,,,,,,,
,"  1270158 => ""SMTP邮箱""",,,,,,,,,,,,,,
,"  1270159 => ""POP3邮箱""",,,,,,,,,,,,,,
,"  1270160 => ""Iphone手机QQ""",******,,,,,,,,,,,,,
,"  1270161 => ""腾讯移动支付""",******,,,,,,,,,,,,,
